GW1.24H_LASKIN_T,,Sub,station,GW1,24H,calculator,time,program,,,,,,,,,
GW1.AK_LM1_HETK_KM,,Sub,station,GW1,control,point,K,LM1,HETK,KM,,,,,,,
GW1.AK_LM1_HETK_KPM,,Sub,station,GW1,control,point,K,LM1,HETK,KPM,,,,,,,
GW1.AS_TALLENNUS_I,,Sub,station,GW1,deflected,setpoint,save,state,,,,,,,,,
GW1.GEO_COP_KM,,Sub,station,GW1,geothermal,control,KM,,,,,,,,,,
GW1.GEO_LM1_HETK_KM,,Sub,station,GW1,geothermal,LM1,HETK,KM,,,,,,,,,
GW1.GEO_LM3_24_KM,,Sub,station,GW1,geothermal,LM3,24,KM,,,,,,,,,
GW1.GEO_LM3_KM,,Sub,station,GW1,geothermal,LM3,KM,,,,,,,,,,
GW1.GEO_LM4_HETK_KM,,Sub,station,GW1,geothermal,LM4,HETK,KM,,,,,,,,,
GW1.GEO_LM4_LM5_HETK_KM,,Sub,station,GW1,geothermal,LM4,LM5,HETK,KM,,,,,,,,
GW1.GEO_LM4_LM5_HETK_KPM,,Sub,station,GW1,geothermal,LM4,LM5,HETK,KPM,,,,,,,,
GW1.GEO_LM5_HETK_KM,,Sub,station,GW1,geothermal,LM5,HETK,KM,,,,,,,,,
GW1.HA10_AS_TE_AH_FM,,Sub,station,GW1,apartment,number,10,deflected,setpoint,temperature,measurement,room,fictional,point,measurement,,
GW1.HA10_AS_TE_KH_FM,,Sub,station,GW1,apartment,number,10,deflected,setpoint,temperature,measurement,bathroom,fictional,point,measurement,,
GW1.HA10_IMS15_A,,Sub,station,GW1,apartment,number,10,air,flow,controller,15,control,point,,,,
GW1.HA10_IMS15_AS_M,,Sub,station,GW1,apartment,number,10,air,flow,controller,15,deflected,setpoint,measurement,,,
GW1.HA10_IMS15_FA,,Sub,station,GW1,apartment,number,10,air,flow,controller,15,fictional,point,alarm,,,
GW1.HA10_IMS15_M,,Sub,station,GW1,apartment,number,10,air,flow,controller,15,measurement,,,,,
GW1.HA10_IMS17_A,,Sub,station,GW1,apartment,number,10,air,flow,controller,17,control,point,,,,
GW1.HA10_IMS17_AS_M,,Sub,station,GW1,apartment,number,10,air,flow,controller,17,deflected,setpoint,measurement,,,
GW1.HA10_IMS17_FA,,Sub,station,GW1,apartment,number,10,air,flow,controller,17,fictional,point,alarm,,,
GW1.HA10_IMS17_M,,Sub,station,GW1,apartment,number,10,air,flow,controller,17,measurement,,,,,
GW1.HA10_JAAH_ASETUS_AH1_FM,,Sub,station,GW1,apartment,number,10,cooling,set,point,room,1,fictional,point,measurement,,
GW1.HA10_JAAH_ASETUS_KH_FM,,Sub,station,GW1,apartment,number,10,cooling,set,point,bathroom,fictional,point,measurement,,,
GW1.HA10_JAAHDYTYS_AH1_A,,Sub,station,GW1,apartment,number,10,cooling,room,1,control,point,,,,,
